Age,Breed,Sex,Health,EnergyLevel,Mannerisms,CommandResponse,Status
4,2,1,3,4,3.909090909,3.5,0
3,2,1,4,5,4.681818182,5,0
4,2,0,5,5,3.818181818,3.833333333,0
4,2,1,5,4,3.909090909,4.333333333,0
4,2,1,5,5,3.5,3.5,0
3,2,1,5,5,4.454545455,3.666666667,0
4,2,1,5,5,3.818181818,3.666666667,0
3,2,1,5,4,4.181818182,4.166666667,0
4,2,1,3,5,4.136363636,3.833333333,0
4,2,1,4,5,4.090909091,3.666666667,0
4,2,1,5,5,4.636363636,4.166666667,0
3,2,1,4,5,3.863636364,4.166666667,0
4,4,0,5,4,4.090909091,4.5,0
4,4,1,5,5,4.272727273,4.666666667,0
4,4,0,5,5,3.818181818,3.833333333,0
3,2,1,5,4,4,3.833333333,0
4,2,1,5,5,3.909090909,4,0
4,2,1,5,5,4.727272727,4,0
3,2,0,2,5,3.818181818,3,0
4,2,0,4,5,4.545454545,4.666666667,0
3,2,0,4,5,4.863636364,3.833333333,0
4,2,1,3,5,4.409090909,4.5,0
4,2,1,3,4,3.272727273,4.833333333,0
3,2,1,4,5,4.045454545,3.833333333,0
4,2,1,5,5,3.909090909,4.5,0
4,2,0,4,5,4.136363636,4.666666667,0
4,2,1,5,4,4.181818182,3.666666667,0
4,2,1,5,5,4.636363636,5,0
3,2,0,5,5,4.454545455,4.333333333,0
5,2,0,5,5,3.318181818,3.666666667,0
4,2,1,5,5,4.545454545,4.333333333,0
3,2,1,5,5,3.590909091,3.833333333,0
5,2,0,5,5,3.727272727,3.666666667,0
4,2,1,5,5,4.045454545,3,0
5,2,0,5,4,4.318181818,3.833333333,0
4,2,1,1,1,1.863636364,2.166666667,0
4,2,0,5,5,4.5,4.666666667,0
5,2,1,5,5,4.363636364,4.333333333,0
4,2,1,5,5,4.818181818,4.666666667,0
4,2,0,4,4,3.181818182,3.333333333,0
3,2,0,5,5,4.863636364,4.5,0
4,2,1,5,5,3.545454545,3.833333333,0
4,2,1,5,4,3.318181818,3.833333333,0
4,2,1,5,3,3.772727273,4.666666667,0
5,2,0,5,5,4.545454545,4.166666667,0
4,2,1,5,5,4.318181818,4.333333333,0
4,2,0,5,5,4.590909091,4.5,0
4,2,0,5,5,4.227272727,3.166666667,0
4,2,1,5,5,3.954545455,4.333333333,0
4,2,1,5,5,4.590909091,4.333333333,0
4,2,0,5,5,3.727272727,3.833333333,0
4,2,0,5,5,4.227272727,3.666666667,0
3,2,1,4,4,3.363636364,4.166666667,0
4,2,0,5,5,4.227272727,3,0
4,2,1,3,4,3.863636364,3.833333333,0
5,2,0,4,4,4.045454545,3,0
4,2,1,4,4,4.545454545,4.333333333,0
4,2,1,5,5,3.545454545,3,0
5,2,1,5,5,3.909090909,3.333333333,0
4,2,0,3,1,2.272727273,1.666666667,0
4,2,1,5,5,4.409090909,3.833333333,0
4,2,1,4,5,4.409090909,3.5,0
3,2,0,4,4,3.636363636,4.5,0
4,2,0,4,5,4.318181818,3.833333333,0
10,2,1,5,5,3.545454545,3.666666667,0
4,2,0,5,4,3.727272727,3.166666667,0
4,2,1,5,5,4.590909091,4.833333333,0
4,2,0,5,5,4.454545455,4.5,0
4,2,0,3,5,3.818181818,4.333333333,0
4,2,0,3,5,3.818181818,4.333333333,0
4,2,0,5,5,4.363636364,4.333333333,0
5,2,1,5,3,4.5,4.666666667,0
4,2,0,5,5,3.818181818,3.666666667,0
4,2,1,4,5,4.454545455,4.833333333,0
4,2,1,4,5,4.454545455,4.833333333,0
3,2,1,5,4,3.409090909,3.5,0
4,2,1,5,5,3.909090909,4.333333333,0
4,2,1,5,5,4.181818182,4.666666667,0
4,2,0,5,5,4.727272727,4.833333333,0
4,2,1,5,5,4.318181818,4.5,0
5,2,1,4,4,3.681818182,3.5,0
4,2,0,5,5,4.363636364,3.666666667,0
4,2,0,5,5,4.272727273,4.333333333,0
4,2,0,4,5,4.590909091,4.833333333,0
5,2,0,5,5,4.909090909,5,0
4,2,0,5,5,4.409090909,3.833333333,0
4,2,1,5,5,4.181818182,3.833333333,0
4,2,0,5,5,4.409090909,5,0
4,2,1,5,5,4.590909091,4.333333333,0
5,2,0,4,5,4.136363636,4.833333333,0
3,2,0,5,4,4.045454545,3.5,0
5,2,0,5,4,4.363636364,4.833333333,0
3,2,1,5,5,4.318181818,5,0
6,2,1,4,4,3.909090909,4.166666667,0
5,2,1,5,5,4.681818182,4.666666667,0
4,2,1,4,4,4.318181818,4.333333333,0
4,2,0,5,5,3.409090909,4.166666667,0
5,2,0,5,5,4.636363636,4.333333333,0
3,2,1,4,4,4.181818182,4.5,0
3,2,0,5,5,4.363636364,3.833333333,0
