Age,Color,Sex,Weight,Housemanners,LeftUnattended,EarCleaning,AttendsClasses,BehavesWellClass,AttendsHomeSwitches,Status
4,1,1,25,3,2,3,3,3,3,0
3,5,1,29,4,5,5,5,5,5,0
4,5,0,30,4,3,5,5,5,5,0
4,5,1,25,4,1,5,5,3,5,0
4,5,1,28,3,1,5,5,3,3,0
3,1,1,38,4,5,5,5,5,1,0
4,5,1,30,4,2,4,4,4,1,0
3,5,1,33,4,4,3,5,4,5,0
4,5,1,30,2,3,5,5,5,5,0
4,5,1,32,5,4,5,5,3,1,0
4,1,1,25,5,3,4,5,4,4,0
3,1,1,27,4,4,2,5,4,3,0
4,2,0,34,4,1,4,5,5,5,0
4,2,1,30,3,4,4,5,5,2,0
4,2,0,27,4,4,4,4,4,4,0
3,1,1,19,4,2,1,5,3,2,0
4,1,1,26,3,1,4,5,5,2,0
4,1,1,25,5,2,5,3,5,4,0
3,2,0,21,4,1,4,5,5,4,0
4,5,0,28,4,5,3,5,4,4,0
3,5,0,22,5,5,5,5,5,1,0
4,5,1,27,4,3,5,5,5,1,0
4,5,1,28,3,2,5,5,5,5,0
3,5,1,22,3,2,4,5,4,1,0
4,5,1,30,3,4,3,3,3,1,0
4,1,0,27.8,3,5,5,5,4,5,0
4,1,1,25,4,3,5,5,4,4,0
4,1,1,28.5,5,3,5,5,5,3,0
3,1,0,20,4,4,5,4,4,1,0
5,1,0,34,2,2,3,5,3,1,0
4,1,1,28,5,4,4,5,4,5,0
3,5,1,22.5,4,1,3,4,4,3,0
5,1,0,32,3,3,3,5,4,5,0
4,1,1,25,3,3,5,5,3,1,0
5,5,0,45,5,4,5,5,3,5,0
4,1,1,28,1,3,5,2,3,5,0
4,5,0,31.5,5,1,4,5,4,1,0
5,5,1,33,4,4,4,5,5,5,0
4,1,1,30,4,5,5,5,5,5,0
4,1,0,25,3,3,3,4,3,4,0
3,5,0,25,5,4,5,5,5,5,0
4,5,1,30,4,3,2,4,4,1,0
4,5,1,30,3,3,3,5,4,1,0
4,2,1,25,3,2,3,3,3,5,0
5,2,0,46,5,5,5,4,5,5,0
4,1,1,32.5,3,5,5,5,5,1,0
4,2,0,36,5,4,5,5,5,5,0
4,1,0,35,4,3,5,4,3,4,0
4,5,1,27,3,3,5,5,4,1,0
4,1,1,29,5,5,5,5,4,5,0
4,1,0,30,3,2,1,5,4,1,0
4,5,0,40,4,4,4,5,4,5,0
3,1,1,30,4,4,4,4,2,1,0
4,5,0,27,4,3,4,5,4,1,0
4,5,1,32,4,4,4,4,4,3,0
5,1,0,37.4,3,3,5,5,2,3,0
4,1,1,30,5,3,5,5,1,3,0
4,1,1,30.3,3,3,3,4,4,5,0
5,5,1,45,4,3,3,4,4,1,0
4,5,0,29,3,3,3,2,1,1,0
4,5,1,35,4,4,4,4,3,5,0
4,5,1,28,5,5,5,5,3,5,0
3,5,0,30.7,4,2,4,5,2,3,0
4,1,0,31,4,4,5,5,4,5,0
10,5,1,18,2,2,3,5,5,1,0
4,5,0,35,3,1,4,1,1,1,0
4,5,1,27.2,4,4,5,5,4,5,0
4,1,0,30,5,5,4,5,4,1,0
4,1,0,26,3,4,5,5,4,1,0
4,1,0,26,3,4,5,5,4,1,0
4,1,0,32,3,4,5,5,4,5,0
5,5,1,45,4,5,3,5,5,5,0
4,5,0,32,3,1,4,5,2,1,0
4,1,1,26,4,4,4,5,5,5,0
4,1,1,26,4,4,4,5,5,5,0
3,1,1,25,2,1,4,5,4,1,0
4,1,1,40,3,3,4,3,4,5,0
4,1,1,33,4,4,4,4,4,5,0
4,5,0,30,5,5,5,5,4,4,0
4,1,1,34,4,4,4,5,4,4,0
5,5,1,36,3,3,4,4,4,4,0
4,5,0,34,4,3,4,5,4,1,0
4,1,0,29,5,3,5,5,5,3,0
4,1,0,34,4,4,5,5,5,3,0
5,1,0,58,5,5,5,5,5,5,0
4,5,0,26,4,4,5,5,4,5,0
4,5,1,31,4,3,4,5,4,4,0
4,5,0,35,5,4,5,5,5,1,0
4,5,1,30,4,4,5,5,5,5,0
5,1,0,44.2,4,3,3,4,4,3,0
3,2,0,24,4,3,3,5,5,1,0
5,5,0,43.6,3,2,5,5,5,1,0
3,5,1,26,4,2,5,5,5,5,0
6,2,1,45,4,3,4,4,4,1,0
5,5,1,34,5,4,5,5,5,5,0
4,1,1,28,4,3,4,5,4,1,0
4,1,0,35,3,4,4,5,3,1,0
5,1,0,35,5,4,4,5,5,1,0
3,1,1,30,4,3,4,5,4,5,0
3,1,0,26,4,2,3,5,5,4,0
4,5,1,35,4,5,5,5,5,5,0
4,1,0,26,4,4,4,5,5,1,0
4,1,0,33.5,4,3,4,5,4,4,0
4,1,1,28,3,2,4,5,3,1,0
4,1,0,26,3,3,4,5,4,4,0
4,5,0,31,3,1,5,4,4,1,0
4,5,1,42,3,3,5,5,4,4,0
4,5,1,30,4,1,5,5,4,5,0
6,1,1,39.1,4,5,3,5,3,3,0
3,2,0,29,4,3,3,5,5,3,0
4,2,1,38,3,3,5,5,5,1,0
4,2,1,24,4,3,4,5,4,1,0
4,2,0,35,5,3,4,4,4,3,0
4,2,1,35,4,3,2,4,4,1,0
4,2,1,35,4,3,3,5,4,3,0
4,5,0,25,4,3,4,4,4,3,0
8,5,1,51.4,4,5,3,5,5,5,0
4,5,1,30.2,4,5,4,5,4,3,0
4,5,1,30,2,2,3,3,3,3,0
4,1,0,35,4,4,4,4,4,1,0
8,1,0,50,4,3,4,4,4,2,0
4,1,1,24.5,5,3,5,5,5,5,0
4,1,0,40,3,3,5,5,5,3,0
4,1,1,26.5,5,5,5,5,1,1,0
4,5,0,36,3,3,1,3,3,1,0
4,1,0,22,4,2,3,4,4,3,0
4,1,0,33,2,3,5,5,5,5,0
4,5,0,25,3,4,5,5,4,3,0
4,1,0,30,4,4,5,5,4,5,0
4,1,1,25,4,4,5,5,4,5,0
4,5,1,39.4,5,1,1,5,4,1,0
