ogr_DogID,Age,Breed,Color,Sex,GoodAppetite,FoodAmount,Weight,Health,StoolFirm,EnergyLevel,EliminationInCrate,QuietInCrate,RespondsToCommandKennel,NoInappropriateChewing,Housemanners,LeftUnattended,EliminationInHouse,PlaybitePeople,StealsFood,OnFurniture,BarksExcessively,RaidsGarbage,CounterSurfingJumpOnDoors,JumpOnPeople,FriendlyWAnimals,GoodWKids,GoodWStrangers,WalksWellOnLeash,KnowCommandGetBusy,EliminatesOnRoute,ChasingAnimals,TrafficFear,NoiseFear,Stairs,SitsOnCommand,DownOnCommand,StaysOnCommand,ComeOnLeash,ComeOffLeash,CanGivePills,EarCleaning,NailCutting,AttendsClasses,BehavesWellClass,AttendsHomeSwitches,Status
20446,4,2,1,1,1,2.25,25,3,4,4,5,4,3,3,3,2,4,3,5,5,4,5,4,3,4,4,4,2,5,5,3,3,4,3,5,3,5,3,2,5,3,3,3,3,3,0
20427,3,2,5,1,1,3,29,4,5,5,5,5,5,4,4,5,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
20423,4,2,5,0,1,4,30,5,5,5,5,5,4,1,4,3,4,1,4,4,3,5,3,4,5,5,5,3,5,1,4,4,4,5,5,4,3,3,4,1,5,5,5,5,5,0
20421,4,2,5,1,1,1,25,5,5,4,5,2,5,3,4,1,3,2,5,3,3,5,4,2,5,5,5,3,5,4,3,5,5,5,5,5,3,5,3,5,5,4,5,3,5,0
20420,4,2,5,1,1,1,28,5,5,5,5,5,4,1,3,1,3,1,3,3,3,3,1,3,5,5,5,3,4,3,4,4,5,5,3,3,1,5,5,5,5,1,5,3,3,0
20414,3,2,1,1,0,3,38,5,4,5,5,4,4,5,4,5,3,3,5,5,5,5,5,3,5,5,5,5,4,3,5,5,4,5,5,4,1,4,4,5,5,5,5,5,1,0
20412,4,2,5,1,1,1,30,5,5,5,4,5,5,2,4,2,4,2,5,5,5,4,4,3,4,2,4,4,4,4,3,4,4,5,4,4,2,4,3,1,4,4,4,4,1,0
20410,3,2,5,1,1,1,33,5,4,4,5,4,4,3,4,4,3,3,4,4,3,4,4,4,5,5,5,4,3,5,5,5,5,4,5,4,4,4,4,4,3,4,5,4,5,0
20402,4,2,5,1,1,4.5,30,3,5,5,5,4,4,5,2,3,2,4,5,3,5,5,4,3,5,5,5,3,4,4,4,4,5,4,5,4,1,5,4,1,5,5,5,5,5,0
20400,4,2,5,1,1,3,32,4,5,5,5,5,4,4,5,4,3,4,4,5,5,5,5,4,3,4,4,3,4,3,3,4,4,5,5,3,4,3,3,5,5,1,5,3,1,0
20340,4,2,1,1,1,3,25,5,4,5,3,4,4,5,5,3,4,4,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,2,5,5,3,5,3,5,4,3,5,4,4,0
20328,3,2,1,1,1,1,27,4,5,5,5,2,4,3,4,4,5,2,4,3,3,5,5,2,5,3,4,4,5,4,4,4,5,5,5,5,3,4,4,3,2,3,5,4,3,0
20323,4,4,2,0,1,1,34,5,4,4,5,4,5,4,4,1,5,4,4,4,3,4,4,3,4,4,4,4,5,5,4,4,4,5,5,5,3,5,4,4,4,5,5,5,5,0
20321,4,4,2,1,1,1,30,5,5,5,4,3,5,3,3,4,5,5,5,5,3,5,4,4,4,5,5,5,5,4,4,4,4,5,5,5,4,5,4,5,4,5,5,5,2,0
20319,4,4,2,0,1,1,27,5,3,5,5,4,5,4,4,4,5,4,2,3,3,3,5,3,4,4,4,4,5,4,4,2,4,5,4,4,3,4,3,3,4,3,4,4,4,0
20315,3,2,1,1,1,3,19,5,4,4,4,3,5,3,4,2,4,3,5,5,3,5,5,3,4,5,5,4,4,3,2,4,5,5,5,5,1,3,4,1,1,1,5,3,2,0
