ogr_DogID,Age,Sex,GoodAppetite,EarCleaning,NailCutting,AttendsClasses,BehavesWellClass,AttendsHomeSwitches,Status,text
20446,4.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,i work from home  days a week and don t have to travel for work too often this will give me the ability to let the pup out when needed integrate training throughout the day and make myself the reward i also have flexibility to start work between  and  and end between and  this gives me more flexibility to do walks or socialization in the am or pm depending on weather and how much light is in the sky we don t have children so the pup will be the main target of our love and direction and we will be able to bring him her to socialize in a variety of situations and will be able to focus on the pup to integrate training throughout the day we own our home and have a grassy front and back yard as well as a patio and plenty of places to walk the pup weekend schedule is pretty flexible and we don t really have a set schedule for the weekend 
20423,4.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,0.0,i live with my husband in a small brick house with a fully fenced back yard across from a park in an urban neighborhood i get up very early each week day morning to participate in an exercise class so i would let the pup out in the yard to get busy and play for a bit before my class about am  and then again when i get home  am for play breakfast a walk  get busy  some training during those activities etc my work day is flexible  on days where i must be in the office all day my neighbor has agreed to help with letting the puppy outdoors and having play exercise time my neighbor also has a fully fenced yard and no other pets i work from home  days week and on the weekends i am around the home doing errands visiting with friends taking walks and long hikes etc i lead a very active and outdoors lifestyle and usually meet with friends for some outdoor hikes in the summer i like to stand up paddle board on the river and my last dog a family pet had his own life jacket and used to love to sit on the paddle board or swim alongside on a leash with me i also go jogging most mornings and when the pup is older and strong enough i know s he would love to keep me company for a few miles around the neighborhood each morning  i have always had a pet dog and have always raised them from a puppy now my last dog is in heaven and my home has no pets all my dogs were very well trained but i am excited about learning the guiding eyes training methods my dogs have always had active rich and fun social lives with lots of outdoor activities i look forward to sharing that fun with a guiding eyes pup 
20420,4.0,1.0,1.0,5.0,1.0,5.0,3.0,3.0,0.0,i am currently working from home  i have started a florist business  i am taking this opportunity to be a puppy raiser  previously i was away from home for  hours each day  my  year old daughter stays at home with me  she has had brain tumors and has some special needs  we will be co raising the puppy  my son is almost he attends school each day  he is not sold on having a puppy  he has not had good dog experiences  i would not be surprised if he falls in love with the puppy  my fiancʩ lives in fenwick island delaware  he is also not sold on having a puppy cramping his style  we go to his home most weekends  he is in our home most of the time also  we are getting married in january  we will probably need a puppy sitter  we haven t made any wedding plans yet  i know this is not going to be easy  i just feel called to do this  at least just once 
20340,4.0,1.0,1.0,4.0,3.0,5.0,4.0,4.0,0.0,i live in a suburban neighborhood walking distance to northampton center i have a private but not fenced back yard i have an eight year old beagle mix i live with my husband who works full time and frequently travels and two teenaged sons i am home most days until january and then i work part time as a ski instructor on the days that i will be out of the house for more than four hours i will have a schedule for one of my sons or a dog walker to take the puppy out for play and food and potty  i may be able to take the dog to work with me and have her stay in the teachers lounge while i am out skiing i typically teach for an hour or two and then have an hour break and then teach for another hour or two and so on so that i can spend time in between lessons walking her around the resort and getting her used to lots of people i will have to work that out with my employer that part time job lasts typically until the end of february when i will be home full time again i am a runner hiker and backwoods skier and plan to have the dog accompany me as soon as she is old enough my car is large enough to hold a crate and my other dog frequently rides with me while i am out doing errands but more often i walk to town for shopping and dining and entertainment i look forward to having the puppy accompany me there 
20328,3.0,1.0,1.0,2.0,3.0,5.0,4.0,3.0,0.0,participants bruce maggie our  yr old golden retriever  and linda  monday friday  am bruce wakes to go to work and showers am bruce proceeds downstairs and feeds maggie  am linda wakes and bruce leaves for work linda has tea and reads paper am linda showers and dresses  am linda leaves to go to the mall to walk  am linda goes to the gym am linda returns home  various chores lets maggie outside am bruce returns home depending on the day activities weather we usually take a walk together sometime before noon   watch young and the restless  pm bruce goes back to work  various chores computer depending on what needs to be done  prepare supper for maggie and then for linda and bruce pm bruce returns home evening may involve meetings bowling for bruce shopping church activities friends or family also usually some tv time weekends saturday bruce golfs in the morning afternoon is usually spent together maybe taking a ride or a walk  sunday church from  with possible meeting after  then time again together depending on what is going on we are both fairly active despite arthritic knees that act up here and there  we live in a cape  stories on a quiet street  we have a fenced in back yard that is also quiet and backs up to woods linda is retired and bruce is retired but drives a school bus hence the comings and goings during the day  maggie is a beautiful loving dog who is looking forward to having a little sister!
20303,4.0,0.0,1.0,3.0,3.0,5.0,4.0,4.0,0.0,tim and i are retired  tim is a early riser which has always worked for morning routine when we had our dog  i stay up later at night so i would do the evening routine  we work together and if situation changes we are flexible  in the morning we have breakfast check emails etc  tim does some consulting and will work a few ours from home some days  we walk the green in southbury and around the stores there and will go to museums in connecticut  i also belong to a book club and a women s club our children and my sister in law live in new york city in apartment buildings and we go down to visit them on occasion  my older daughter has a one year old boxer that they are training we are looking forward to training the guide pup and making him a part of our family while we have him 
20301,4.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,0.0,i am newly retired  i live in a single family house in oxford ct  the only other one in my household is my son who is and lives downstairs  he understands that in order to be fair to the puppy and not confuse him her  he needs to follow the guiding eyes rules  he loves dogs and will spoil them if allowed   we have two other dogs in the house  my son s dog  dixie  a  yr old blue tick coon hound spayed female and a  yr old chihuahua papillion ? mix  peanut  also a spayed female  peanut is just graduating from a pet therapy program and i will be doing some hospital and nursing home visits with her  i also have two horses on my property  my backyard is fenced in with stockade fencing so the dogs can t get out but i am use to watching them while they are out playing  my schedule is very flexible  i like to walk and keep active  i have had many dogs over my lifetime  i use to foster dogs take them to obedience classes and then find them very suitable homes  i have done a lot of dog sports over the years  agility fly ball frisbee sheep herding and showing dogs in both breed and obedience  i am open to any puppy  i have had mostly females in the past but i have had  males  i don t know of any intact females or males in my neighborhood but you don t always know that until you have a dog come into heat  i am very excited to raise a puppy for the guiding eyes  
20248,5.0,0.0,1.0,5.0,4.0,5.0,3.0,5.0,0.0,up at am m f kids age  and at school and practice until at work for  am m f and alternate sat but husband and i have opposite schedules so my heavy days are his light days and vice versa  for example mondays and tuesdays i am on house calls only or back up for high case load so can come and go as i please  my husband has this luxury on wed thurs and we are both on back up only friday after  pm  home by  or earlier on light days  pm on thursdays only for me tuesdays only for lawrence dog after  weeks of age could conceivably come to work but we are also only  miles from home and easily can return every  hours or more frequently  saturday afternoons and sundays free time do frequently return to hospital on weekends for various business and medical needs as well as grounds keeping since we are owners of practice daughter is driving and capable of coming to classes when i am working  she also will be primarily responsible for watching training in the evenings and on weekends  we have  other pets a cat that is well accustomed to dogs and a chinchilla that is in a large cage  we have a fenced yard acre and live within walking distance to downtown mystic we rarely travel other than locally due to the demands of our practice 
20211,5.0,0.0,1.0,5.0,3.0,5.0,2.0,3.0,0.0,it has been about a year since i had the good fortune to retire from sales  my husband fred just retired a few months ago we both have many interests  fred likes sailing flying biking running and hiking  i really love having the time to garden feed the birds read to keep up with two book groups  learn new music for chorus except in the summer and take care of lee loo the cat  i also enjoy baking and even make my own dog treats  but not lately since jayk our golden passed about a year ago we spend time corresponding with our four adult children who live in boston chicago  england and annapolis have been busy decluttering and puppy proofing our home  looking forward to a furry walking companion and getting to know and enjoy all the bay region pups in our class 
20208,4.0,1.0,1.0,5.0,3.0,5.0,1.0,3.0,0.0,i live in a single family home in severna park md a very family friendly neighborhood with water access my husband and i have had a dog together for the last  years and are well aware of the time and responsibility that goes into bringing a puppy along  my two kids are off to college giving me more time on my hands  i have a horse that i visit frequently so the pup will get to encounter farm life we also have two cats i am currently unemployed so i have time to dedicate to the raising of this puppy given that i stay relatively active the puppy will get to walk or run with me daily depending on my routine my sister in law lives three doors down and plans to help with the raising of this pup she s very active and completely on board with the project  this is something i ve always wanted to do and am in a place in my life where i can truly dedicate my resources  my  son will be returning from his travels abroad this november so the puppy will have  housemates to bond with including me plus the housemates at my sister in law s home  he she will truly get the time and attention necessary to become a well rounded dog 
