ogr_DogID,foodtype,exercisetype,status
20446,iams naturalistic,walking  playing with toys,0.0
20423,wolf king,walks with some short jogging stints,0.0
20420,iams,walking on leash  running free in fenced back yard  indoor play with balls and tug toys,0.0
20340,ian s smart puppy,walking  tugging  other dogs,0.0
20328,science diet puppy,walking and playing with other dog in home,0.0
20303,science diet healthy development,we go to the dog park with otto ,0.0
20301,low residue,walks on leash  free play with my other dogs inside and outside in fence in yard,0.0
20248,iams,fetch  walking  playing with dogs,0.0
20211,iams,lots of fetch  playing with other dogs  walks,0.0
20208,iams,walks  runs with dogs or on long line,0.0
20205,science diet,running in fenced in yard  walks  playing with cousin pups,0.0
20201,science diet puppy large breed,walking and running playing off leash in fenced yard ,0.0
20199,iams smart puppy,runs around the house and yard  supervised ,0.0
20190,science diet blue buffalo,walking  a few min of running when he initiates it  stair climbing,0.0
20189,imas,running  active play throughout day,0.0
20189,imas,running  active play throughout day,0.0
20188,iams puppy,walking ball chasing,0.0
20177,canidea lamb grain free,walks play with other dogs,0.0
20142,for health   puppy,walk  fetch  run  play,0.0
20135,science diet,daily walks  plays in back yard,0.0
20099,science diet large puppy,walking and playing with jasmine,0.0
20072,none  still on bland diet ,walking,0.0
20060,iams puppy,walk follow me,0.0
20059,iams,playing with kids,0.0
20058,iams low res,running  dog play,0.0
20043,iams    mo  chicken puppy food,outdoor walks    min   backyardplay       min   indoor toy play        minutes  throughout the day,0.0
20017,iams,walks  training  play in yard,0.0
20017,iams,walks  swimming  fenced in yard,0.0
20016,california naturals chicken & brown rice,walking,0.0
20014,fromm s large breed puppy,walks & dog pack play,0.0
19984,iams lamb & rice,walks  frisbee or ball  water pond,0.0
19984,iams puppy,walks in town and woods and plays with our other two labs   some evenings we also go to a pond   yani is a water lover ,0.0
19980,iams adult large breed,  mile walks in a m   afternoon walks rides in car to metro school events ,0.0
19980,iams large puppy,  quarter mile walks day and playtime in fenced yard with family dog for    min ,0.0
19966,iams  proactive health  adult,walking     fetching,0.0
19965,iams large breed chicken and rice,walking outdoor play,0.0
19963,iams,playing inside and outside with family and family pets  including fetching  walking  running within fenced yard ,0.0
19946,iams,plays fetch  plays with dogs  walks,0.0
19931,science diet puppy,walks on leash and plays with our dog,0.0
19931,iams lamb rice,walks  hikes  playing in fenced yard with our dog  ball chasing,0.0
19899,iams,walks  tug  fetch  swimming  not recently   hiking  jumping on rocks,0.0
19899,iams smart puppy,walk  ball play some tug,0.0
19899,iams,walks  tug  fetch  swimming  not recently   hiking  jumping on rocks,0.0
19899,iams smart puppy,walk  ball play some tug,0.0
19898,iams puppy,walks and ball,0.0
19898,iams,walking and playing,0.0
19895,iams,fetch and walks  outside free play,0.0
19891,iams  puppy,walks daily and plays with the house dog ,0.0
19889,health extensions,walks  play with other house dog,0.0
19889,hills science diet   puppy,  daily walks  free play with family pet in outdoor fenced area,0.0
19872,iams adult,walks  running in yard  active play with other dogs ,0.0
19872,iams,playing with older dog  wrestling  chase  toys   tug  walks,0.0
19866,iams healthy puppy,walking am & pm,0.0
19866,iams lamb & rice,walking  fetch,0.0
19862,iams smart puppy large breed,walks  plays with dogs  fetch  swimming,0.0
19861,iams,walking  playing ball,0.0
19861,purina pro plan,walking,0.0
19857,iams puppy  chicken and rice mixed,walks  play,0.0
19857,science diet large breed puppy,walk ,0.0
19854,hills science diet,walks  play with other geb pups  long leash  yard toys,0.0
19854,iams lamb and rice,long walks  fetch  geb dogs play  outside play,0.0
19853,fromm puppy,walking  playing with my dog,0.0
19853,iams lamb and rice,walking  playing ball,0.0
19851,merrick,walking  playing  hiking,0.0
19851,merrick,walking  playing,0.0
19849,science diet,walking playing training,0.0
19800,costco kirklands adult,fetch  walks  play with other dogs  swimming,0.0
19800,costo kirkland puppy,play with neighbor dogs  fetch with soccer and tennis balls  training walks,0.0
19797,kirkland lamb and rice,walks  occasional play with another dog,0.0
19797,science diet,walks  run in enclosed space  play with other dogs,0.0
19797,kirkland adult,walks  loose leash walks  running off leash in enclosed areas  swimming,0.0
19792,iams,walks,0.0
19785,iams,walking  biking  fetch,0.0
19785,science diet,walking  running  fetching ,0.0
19777,science diet,walking  fetch,0.0
19777,iams,running  fetch  walking,0.0
19772,puppy chow,walking playing with a ball,0.0
19772,iams,walking  swimming  fetch,0.0
19770,science diet,play ball  tug  walk,0.0
19770,science diet,walks  fetch  tug,0.0
19748,hill s large breed puppy,walks  play in the yard,0.0
19748,canidae,walks  fetch play in yard,0.0
19721,blue buffalo,walking  running & playing,0.0
19721,iams,running  walking  playing,0.0
19690,iams,walking,0.0
19690,iams large breed puppy food,walking  yard   stairs,0.0
