ogr_DogID,foodtype,exercisetype,age,sex,earcleaning,attendsclasses,behaveswellclass,attendshomeswitches,status
20446,iams naturalistic,walking  playing with toys,4.0,1.0,3.0,3.0,3.0,3.0,0.0
20423,wolf king,walks with some short jogging stints,4.0,0.0,5.0,5.0,5.0,5.0,0.0
20420,iams,walking on leash  running free in fenced back yard  indoor play with balls and tug toys,4.0,1.0,5.0,5.0,3.0,3.0,0.0
20340,ian s smart puppy,walking  tugging  other dogs,4.0,1.0,4.0,5.0,4.0,4.0,0.0
20328,science diet puppy,walking and playing with other dog in home,3.0,1.0,2.0,5.0,4.0,3.0,0.0
20303,science diet healthy development,we go to the dog park with otto ,4.0,0.0,3.0,5.0,4.0,4.0,0.0
20301,low residue,walks on leash  free play with my other dogs inside and outside in fence in yard,4.0,1.0,5.0,5.0,5.0,1.0,0.0
20248,iams,fetch  walking  playing with dogs,5.0,0.0,5.0,5.0,3.0,5.0,0.0
20211,iams,lots of fetch  playing with other dogs  walks,5.0,0.0,5.0,5.0,2.0,3.0,0.0
20208,iams,walks  runs with dogs or on long line,4.0,1.0,5.0,5.0,1.0,3.0,0.0
20205,science diet,running in fenced in yard  walks  playing with cousin pups,4.0,0.0,3.0,2.0,1.0,1.0,0.0
20201,science diet puppy large breed,walking and running playing off leash in fenced yard ,3.0,0.0,4.0,5.0,2.0,3.0,0.0
20199,iams smart puppy,runs around the house and yard  supervised ,10.0,1.0,3.0,5.0,5.0,1.0,0.0
20190,science diet blue buffalo,walking  a few min of running when he initiates it  stair climbing,4.0,0.0,4.0,5.0,4.0,1.0,0.0
20189,imas,running  active play throughout day,4.0,0.0,5.0,5.0,4.0,1.0,0.0
20189,imas,running  active play throughout day,4.0,0.0,5.0,5.0,4.0,1.0,0.0
20188,iams puppy,walking ball chasing,4.0,0.0,5.0,5.0,4.0,5.0,0.0
20177,canidea lamb grain free,walks play with other dogs,4.0,1.0,4.0,4.0,4.0,5.0,0.0
20142,for health   puppy,walk  fetch  run  play,3.0,0.0,3.0,5.0,5.0,1.0,0.0
20135,science diet,daily walks  plays in back yard,4.0,0.0,4.0,5.0,3.0,1.0,0.0
20099,science diet large puppy,walking and playing with jasmine,4.0,1.0,3.0,5.0,4.0,3.0,0.0
20072,none  still on bland diet ,walking,4.0,1.0,3.0,3.0,3.0,3.0,0.0
